Code,PI_CA,SI_CA,II_CA,PI_I,SI_I,II_I,PI_CO,SI_CO,II_CO,PI_W,SI_W,II_W,PI_MM,SI_MM,II_MM,PI_MQ,SI_MQ,II_MQ,PI_MF,SI_MF,II_MF,SI_E,Unemployment,Act_pop_total,Employed_total,Unemployed_3mts,Unemployed_3_6mts,Unemployed_6_12mts,Unemployed_ov6,HousePrice,HousePrice_S,HousePrice_P,BSI_BC,BSI_SG,BSI_P,BSI_FS,BSI_HR,PI_P,PI_C,PI_SI,PI_PA,MB,Currency_cir,CBLIAB_DC,M1,M2,CD,CP,YT_1,YT_3,YT_5,YT_10,CB_3_AA,BaseRate,CB_3_BBB,FX_US,FX_JP,FX_EU,FX_BR,FX_CA,FX_SW,CPI,CPI_F,CPI_C,CPI_H,CPI_HE,CPI_T,CPI_E,CPI_M,SPI_R,SPI_I,SPI_F,SPI_RI,IPI_A,IPI_B,IPI_C,IPI_L,IPI_M,EPI_A,EPI_M,KOSPI,KOSDAQ,Expected_inf,Oilprice,TB_spread,USCPI,IR_bigfirm,IR_smallfirm,IR_firm,IR_House,IR_saving,IR_gen_credit,USB_10,LeadingCI,LaggingCI,vkospi,EPU,MP,FiscalP,TradeP,FXP,COFIX_new
td,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,2,2,2,2,2,2,2,5,5,1,4,4,4,4,4,2
10.Jan,104.1590 ,102.0540 ,84.0790 ,79.7160 ,80.7860 ,67.2970 ,97.8720 ,98.7380 ,73.3710 ,87.0240 ,86.8450 ,70.4630 ,87.5560 ,86.4890 ,70.4630 ,101.8680 ,97.1840 ,87.5130 ,86.4890 ,70.5160 ,95.4010 ,95.0330 ,5.0000 ,24258.0000 ,23041.0000 ,885.0000 ,265.0000 ,63.0000 ,68.0000 ,78.4000 ,82.8000 ,72.9000 ,86.0000 ,97.0000 ,91.0000 ,92.0000 ,95.0000 ,87.0240 ,103.2380 ,87.6000 ,80.4000 ,64012.4000 ,28688.6000 ,35323.8000 ,377709.6000 ,1576035.9000 ,2.8800 ,3.1200 ,3.2900 ,4.2900 ,4.8400 ,5.3500 ,5.4000 ,2.0000 ,11.4700 ,1138.8200 ,1248.2600 ,1627.5200 ,1841.2900 ,1092.5400 ,1102.5900 ,85.3510 ,73.0390 ,80.7470 ,82.5120 ,91.3660 ,99.0600 ,89.3550 ,84.1700 ,116.8000 ,102.4700 ,94.1700 ,106.2400 ,95.5000 ,156.2600 ,152.9700 ,104.1600 ,114.8100 ,90.6400 ,117.4100 ,1602.4300 ,496.5700 ,3.1000 ,78.2200 ,2.0600 ,217.4880 ,5.6400 ,6.0300 ,6.0200 ,5.8800 ,5.4300 ,7.6400 ,3.7300 ,84.3000 ,82.4000 ,23.2900 ,107.2886 ,121.0780 ,125.4470 ,34.5054 ,130.6022 ,3.8800 
10.Feb,102.3770 ,100.8650 ,84.3190 ,83.0080 ,80.9560 ,71.0610 ,99.2300 ,101.8930 ,72.4360 ,88.7430 ,87.3970 ,72.6640 ,89.1010 ,87.1320 ,72.6640 ,103.6730 ,98.9320 ,89.1660 ,87.1320 ,72.7180 ,94.1680 ,94.1890 ,4.8000 ,24217.0000 ,23047.0000 ,851.0000 ,252.0000 ,63.0000 ,67.0000 ,78.6000 ,82.9000 ,73.2000 ,90.0000 ,104.0000 ,92.0000 ,93.0000 ,93.0000 ,88.7430 ,102.5560 ,89.0000 ,102.3000 ,64421.9000 ,28947.2000 ,35474.7000 ,382557.2000 ,1595958.9000 ,2.8800 ,3.1200 ,3.1200 ,4.1900 ,4.7600 ,5.3000 ,5.3200 ,2.0000 ,11.3900 ,1157.0800 ,1281.7200 ,1584.5300 ,1811.0500 ,1094.3200 ,1080.2000 ,85.5230 ,73.8780 ,80.6660 ,82.7620 ,91.4570 ,98.9590 ,89.4460 ,84.3390 ,117.4300 ,102.8600 ,94.7900 ,106.6700 ,98.1100 ,125.7500 ,149.1200 ,108.5400 ,116.3000 ,91.1000 ,118.8500 ,1594.5800 ,507.0300 ,3.1000 ,76.4200 ,2.1800 ,217.2810 ,5.5200 ,5.9700 ,5.8400 ,5.7500 ,5.4400 ,7.4100 ,3.6900 ,84.4000 ,82.9000 ,20.5900 ,96.4172 ,135.0387 ,142.6228 ,48.2352 ,87.3949 ,3.6200 
10.Mar,103.7220 ,102.7030 ,83.3690 ,84.6930 ,83.6040 ,68.8190 ,98.6410 ,101.7880 ,77.3040 ,90.0720 ,89.6040 ,71.9590 ,90.1770 ,89.4300 ,71.9590 ,107.6940 ,102.6210 ,90.0780 ,89.3380 ,72.0130 ,92.2480 ,93.6270 ,4.1000 ,24567.0000 ,23560.0000 ,679.0000 ,267.0000 ,58.0000 ,61.0000 ,78.7000 ,82.9000 ,73.5000 ,96.0000 ,110.0000 ,94.0000 ,94.0000 ,92.0000 ,90.0720 ,101.6950 ,89.1000 ,100.0000 ,65460.3000 ,29568.0000 ,35892.3000 ,383343.9000 ,1610861.1000 ,2.8300 ,3.0600 ,2.8300 ,3.9400 ,4.4700 ,4.9200 ,5.0200 ,2.0000 ,11.0800 ,1137.6400 ,1255.8400 ,1544.8900 ,1712.7500 ,1111.8400 ,1066.8000 ,85.6960 ,74.4100 ,80.6660 ,82.5950 ,91.4570 ,99.7620 ,90.4420 ,84.5100 ,121.5400 ,102.9100 ,94.9500 ,107.1100 ,99.9900 ,149.3600 ,154.2000 ,106.6900 ,115.9400 ,98.1200 ,118.3000 ,1692.8500 ,515.7400 ,3.0000 ,81.2400 ,2.0900 ,217.3530 ,5.4200 ,5.8500 ,5.8000 ,5.4700 ,5.4200 ,7.4200 ,3.7300 ,84.4000 ,83.2000 ,17.6800 ,87.1939 ,116.8019 ,105.1443 ,33.3983 ,93.1713 ,3.2600 
10.Apr,102.9880 ,103.4590 ,82.6270 ,86.1100 ,84.7140 ,69.4200 ,101.3600 ,106.4140 ,80.8680 ,91.4780 ,91.2600 ,73.1610 ,91.1610 ,91.0850 ,73.1610 ,104.6400 ,102.7180 ,91.0890 ,91.0850 ,73.2160 ,93.7190 ,95.0330 ,3.7000 ,25053.0000 ,24116.0000 ,624.0000 ,242.0000 ,68.0000 ,71.0000 ,78.9000 ,82.8000 ,73.9000 ,94.0000 ,107.0000 ,94.0000 ,94.0000 ,92.0000 ,91.4780 ,97.2640 ,88.9000 ,89.6000 ,64999.4000 ,30090.0000 ,34909.4000 ,387884.9000 ,1625527.4000 ,2.5100 ,2.7200 ,2.6700 ,3.7700 ,4.4400 ,4.9100 ,4.6900 ,2.0000 ,10.7500 ,1117.1100 ,1195.3100 ,1501.6800 ,1713.1400 ,1111.7000 ,1047.1900 ,86.0410 ,75.5530 ,80.6660 ,82.6790 ,91.5490 ,100.5650 ,90.6220 ,84.3390 ,123.1900 ,103.6800 ,95.0800 ,107.9800 ,99.6200 ,159.0500 ,163.2800 ,106.8700 ,115.5300 ,104.7600 ,118.5700 ,1741.5600 ,523.7500 ,3.0000 ,84.4800 ,2.2400 ,217.4030 ,5.2700 ,5.6000 ,5.5800 ,5.0700 ,5.2000 ,7.0100 ,3.8500 ,84.5000 ,83.4000 ,18.2700 ,89.7080 ,137.9449 ,85.7436 ,32.8252 ,85.9074 ,2.8600 
10.May,107.9440 ,106.9190 ,79.8030 ,86.5380 ,85.2260 ,70.4480 ,101.3600 ,106.4140 ,80.2670 ,92.8090 ,91.9960 ,73.2600 ,92.4970 ,92.0960 ,73.2600 ,104.5100 ,96.9900 ,92.4430 ,92.0960 ,73.3140 ,91.4340 ,91.0030 ,3.2000 ,25293.0000 ,24495.0000 ,474.0000 ,262.0000 ,60.0000 ,62.0000 ,78.9000 ,82.5000 ,74.2000 ,98.0000 ,111.0000 ,95.0000 ,95.0000 ,91.0000 ,92.8090 ,100.6600 ,90.2000 ,93.1000 ,67871.7000 ,30591.1000 ,37280.6000 ,393796.9000 ,1631875.4000 ,2.4500 ,2.6700 ,2.7300 ,3.7000 ,4.4100 ,4.9500 ,4.4800 ,2.0000 ,10.5400 ,1163.1100 ,1265.2300 ,1460.6800 ,1706.3500 ,1118.3400 ,1029.9100 ,86.1280 ,75.1720 ,80.8280 ,83.0950 ,91.6400 ,100.7660 ,90.7130 ,84.6800 ,124.3400 ,105.8300 ,95.4600 ,110.0900 ,102.9800 ,169.4900 ,156.3600 ,114.3300 ,119.0000 ,110.2500 ,121.5000 ,1641.2500 ,489.4200 ,3.0000 ,73.8400 ,2.2200 ,217.2900 ,5.2400 ,5.5600 ,5.5800 ,4.7800 ,5.2100 ,6.2700 ,3.4200 ,84.7000 ,83.7000 ,24.0100 ,113.1346 ,120.3634 ,141.6307 ,32.2969 ,160.7248 ,2.8900 
10.Jun,108.9010 ,110.2700 ,79.0960 ,86.8130 ,86.0800 ,71.4550 ,101.1740 ,106.5190 ,78.2100 ,92.9250 ,93.2840 ,73.6310 ,92.4930 ,93.3820 ,73.6310 ,110.6030 ,101.0680 ,92.4270 ,93.3820 ,73.6860 ,90.7080 ,89.5030 ,3.5000 ,25352.0000 ,24474.0000 ,565.0000 ,257.0000 ,54.0000 ,56.0000 ,78.9000 ,82.3000 ,74.5000 ,95.0000 ,108.0000 ,92.0000 ,95.0000 ,91.0000 ,92.9250 ,100.0320 ,89.8000 ,98.6000 ,66535.4000 ,31271.6000 ,35263.7000 ,398971.5000 ,1648780.0000 ,2.4500 ,2.7200 ,2.9200 ,3.7500 ,4.4100 ,4.9300 ,4.6500 ,2.0000 ,10.6200 ,1212.3300 ,1333.5900 ,1480.8500 ,1786.9900 ,1168.2100 ,1074.8500 ,86.0410 ,74.1820 ,81.3150 ,83.1780 ,91.6400 ,100.4650 ,90.7130 ,84.8490 ,127.0000 ,106.9200 ,95.5900 ,111.3600 ,107.1400 ,180.2500 ,156.9700 ,118.3400 ,122.2000 ,116.7100 ,125.0300 ,1698.2900 ,489.9800 ,2.9000 ,75.3500 ,2.0100 ,217.1990 ,4.9600 ,5.5400 ,5.4400 ,4.6200 ,5.3300 ,7.0600 ,3.2000 ,85.0000 ,83.9000 ,21.9000 ,98.9698 ,98.6208 ,109.2099 ,51.0259 ,103.3011 ,3.0100 
10.Jul,109.2320 ,108.9730 ,81.9080 ,87.8370 ,86.8490 ,72.1080 ,100.9560 ,108.3070 ,78.3180 ,93.4540 ,93.4680 ,74.2620 ,93.2600 ,93.5660 ,74.2620 ,99.9360 ,100.0970 ,93.3390 ,93.5660 ,74.3900 ,90.2310 ,89.9720 ,3.7000 ,25435.0000 ,24500.0000 ,661.0000 ,205.0000 ,66.0000 ,70.0000 ,78.8000 ,81.8000 ,74.7000 ,93.0000 ,105.0000 ,92.0000 ,94.0000 ,91.0000 ,93.4540 ,100.6660 ,89.6000 ,83.9000 ,68238.3000 ,31863.2000 ,36375.1000 ,403470.1000 ,1650478.9000 ,2.5800 ,2.8100 ,3.1400 ,3.8800 ,4.4500 ,4.9100 ,4.8100 ,2.2500 ,10.7500 ,1207.3000 ,1377.6700 ,1540.3100 ,1842.8700 ,1155.5000 ,1144.5800 ,86.2140 ,74.5630 ,81.3960 ,82.9280 ,91.7320 ,100.9670 ,90.7130 ,85.1900 ,128.8400 ,106.8700 ,95.6400 ,111.4900 ,107.0100 ,186.0600 ,153.1300 ,119.5700 ,122.0700 ,118.4400 ,124.1900 ,1759.3300 ,481.4500 ,3.0000 ,76.3700 ,1.7700 ,217.6050 ,5.1300 ,5.5800 ,5.5000 ,4.7000 ,5.4200 ,7.2200 ,3.0100 ,85.2000 ,84.2000 ,19.2600 ,95.1707 ,125.2498 ,97.6672 ,53.4041 ,60.7026 ,3.1000 
10.Aug,111.7070 ,113.0810 ,79.3830 ,87.1310 ,86.0800 ,73.1240 ,101.9300 ,106.6250 ,80.4940 ,93.1550 ,93.1920 ,74.9970 ,93.2360 ,93.2900 ,74.9970 ,98.5230 ,91.2620 ,93.2490 ,93.2900 ,75.0530 ,91.2790 ,91.7530 ,3.3000 ,25051.0000 ,24214.0000 ,540.0000 ,223.0000 ,70.0000 ,73.0000 ,78.7000 ,81.5000 ,74.9000 ,93.0000 ,105.0000 ,92.0000 ,94.0000 ,91.0000 ,93.1550 ,97.3940 ,89.2000 ,86.3000 ,68051.6000 ,32161.5000 ,35890.0000 ,405513.0000 ,1654319.4000 ,2.6300 ,2.8500 ,3.1300 ,3.7300 ,4.2700 ,4.6800 ,4.6800 ,2.2500 ,10.6200 ,1179.9200 ,1380.1900 ,1523.3300 ,1848.5700 ,1135.5200 ,1134.1500 ,86.6470 ,76.4670 ,81.3960 ,83.2610 ,91.8230 ,100.7660 ,90.8030 ,85.2750 ,127.5600 ,106.5800 ,95.7800 ,111.1100 ,108.8000 ,183.5100 ,153.1300 ,120.1500 ,120.9300 ,114.1300 ,120.8500 ,1742.7500 ,464.7100 ,3.1000 ,76.8200 ,1.5500 ,217.9230 ,5.3400 ,5.6600 ,5.6500 ,4.8100 ,5.4800 ,7.2200 ,2.7000 ,85.2000 ,84.4000 ,18.7900 ,93.4383 ,107.9026 ,105.1746 ,42.3603 ,94.2818 ,3.1600 
10.Sep,112.2070 ,110.1620 ,81.2010 ,86.5900 ,86.5930 ,73.7990 ,102.7650 ,107.5710 ,80.3790 ,93.4680 ,93.3760 ,75.7030 ,92.9870 ,93.3820 ,75.7030 ,95.1800 ,87.5730 ,93.0690 ,93.3820 ,75.7600 ,92.1480 ,93.0650 ,3.4000 ,25134.0000 ,24270.0000 ,575.0000 ,221.0000 ,63.0000 ,68.0000 ,78.7000 ,81.3000 ,75.2000 ,93.0000 ,108.0000 ,90.0000 ,90.0000 ,91.0000 ,93.4680 ,93.4880 ,89.0000 ,87.5000 ,69749.7000 ,32441.3000 ,37308.4000 ,408000.2000 ,1659077.2000 ,2.6600 ,2.8200 ,2.9900 ,3.4800 ,3.9100 ,4.2800 ,4.4100 ,2.2500 ,10.3600 ,1167.0100 ,1384.1700 ,1518.6900 ,1814.2900 ,1126.2700 ,1162.7900 ,87.3370 ,80.3510 ,81.4770 ,83.4280 ,91.9160 ,99.9630 ,90.8030 ,85.7000 ,128.2900 ,106.8700 ,96.5800 ,111.4500 ,110.6200 ,178.4500 ,153.5900 ,117.2800 ,120.7400 ,119.9200 ,119.7900 ,1872.8100 ,492.7500 ,3.1000 ,75.3100 ,1.2900 ,218.2750 ,5.2500 ,5.6100 ,5.5800 ,4.8000 ,5.4300 ,7.2200 ,2.6500 ,85.3000 ,84.7000 ,16.7700 ,91.0754 ,96.2926 ,114.2543 ,73.3106 ,132.9469 ,3.0900 
